,text,label,WordCount
0,"To the author, the limitations that exploring venus brings, should not be enough to kill the curiosity that many of us have. Although it has been a long time since a spacecraft has touched down on Venus, the author believes that with the technology and willpower we have today, Venus could be explored.

The author keeps referring to Venus as earth's twin. this could show that the author is trying to get across that this planet is not much different from ours. This technique can help pursuade people into believing that it is beyond possible to touch down on Venus. The author writes about alot of the reasons why we could go to Venus, but makes sure to touch on the challenges people may face and the limitations. ""Venus has the hottest surface temperature of any planet in our solar system, even though Mercury is closer to the sun. Beyond high pressure and heat, Venusian geology and weather present additional impediments like erupting volcanoes, powerful earthquakes, and frequent lightning strikes to probes seeking to land on its surface."" These limitations stated in paragraph 3 of the article are just some of the challenges associated with exploring Venus.

The author believes even with all of the limitations, studying Venus could have so many benefits in the future. But another limitation is that hovering Venus at a safe distance might not give the insight on the conditions that people may need. Although he seems to be focusing on the negatives of it all, he brings in light to work around the limits. ""NASA is working on other approaches to studying Venus. For example, some simplified electronics made of silicon carbide have been tested in a chamber simulating the chaos of Venus's surface and have lasted for weeks in such conditions."" Here the author is bringing in the positives which ultimately outweigh the negatives. The limitations seemed to revolve around the harsh conditions, but the author introducing this peice of technology that would work around it helps support the authors ideas.

To conclude, the author has many doubts and fears about studying Venus, but remembers to tell about ways to work around the natural challenges the people would face. The authors idea that claims that studying venus is more important than the dangers pursuades many people into believing that as well. Finally, the author does a great job getting his point across.",0,399
1,"The electoral college must go down! The electoral college is unfair to voters across the United States and the amounts of electoral votes doesn't compare to the actual population. The electoral college have messed up the voting system causing horrific crisis in the United States. This system of electoral colleges voting for the president and not actually counting the votes that the people in the United States vote for, which makes it a very outdated system. Using popular vote is more precise and accurate than the electoral college. Popular vote is voted by citizens in which many people not including me should change the electoral system for the popular vote system. Therefore, the electoral college must go down and replaced by a system called the popular vote to determine the president of this great country.

Having electoral voters instead of having the popular vote system is unfair to all. Basically the electoral college process consists of only a selection of the senators. The founding father have established this messed up system in which it compromise between the election of the president by a vote in congress. It is highly unfair because of the winnertakeall system in each state. This means candidates don't spend time in states they know they have no chance of winning. For example, they only focus on the ""swing states"" like California. Using the winnertakeall system, smaller states don't get the same opportunity as bigger states as in the year of the 2000 campaign, seventeen states didn't see any candidates at all including, Rhode Island and South Carolina which holds the largest media markets. Yet these states didn't get to see a single campaign ad in the designated area.

Not only that using this system is unfair to all, but this system of electoral votes don't compare to the population. Meaning the 500,000 voters in a state of Wyoming who wants the other president to win, only have one representative to cast that vote in that whole state of that immense population. While California in the other hand have 55 representatives to cast the votes, in which the represent 35 million voters in that state. Using popular vote, is much more of a precise method or sytem to use. Instead of having one representative from one small state of 500,000 people, the popular votes turned in by qualified citizens will count than just 55 representatives. Imagine having each and everyone's vote count instead of having someone to do it for you. Now that is when people should start voting.

Using the popular vote will indeed avoid many crisis that happened using the electoral system. For example, the election that almost turned into complete disaster in the year of 1960 when Vice President Richard Nixon, who was presiding over the senate, validated only his opponent electors, but he made sure to do so ""without establishing a precedent"". This couldv'e been easily fixed if the government at this time would take off the electoral system college and instead use a precise system that many people want, named the popular vote. Popular vote is basically when the people have ""the voice"" and speak for themselves and not to another person. Another example would be in the year 2000 when U.S. presidential race, Al Gorereceived more individual votes that George W. Bush nation wide, but Bush wonthe election, receiving 271 electoral votes to Gore's 266. With popular vote, Al Gore wouldv'e won the presidency and the citezens of the United States would've gotten what they wanted instead of having people vote for them. This is why population vote should be in effect as soon as possible.

Using popular vote would be a great and ideal way to decide who is the president during the nationwide election. It should be important to many people as we the people of the United States decide who will take over the countries' responsibility and economy. Yes, the popular votes is a great and ideal way to vote but having electoral colleges will avoid runoff elections. Runoff elections are when no canidate receives a majority of the votes cast. However, they can fix this problem by eliminating the electoral votes process. Therefore, it makes it clear that having a popular vote to deide who is the winner would be better when it is election time.

Having popular votes system will be arguably the best system to use for the election and towards the voting process. Using electoral votes will be unfair to voters when they are voting because of the simply winnertakeall basis of each and every one of the fifty states. Not only that it's unfair, it also causes many crisis in the United States dealing with this system alone and then eventually lead to dramatic chaos across the nation. Also, having the amount of electoral votes doesn't compare to the population of the actual state. Remember it is still one representative for the 500,000 people in Wyoming. Popular votes should be used in every political system no matter what situation it is. As the passage says, the argument against direct elections are spuriors at the best.",0,852
2,"Dear Florida Senator, The ongoing debate of whether or not the Electoral College process is fair or unjust is always around you, I presume. I would like to give some personal feedback in the matters of this situation.

I understand that the Electoral College was created in the constitution as a compromise between election of the President by a vote in Congress and election of the President by a popular vote of qualified citizens. Source 1 However it is not a fair or even equal compromise. The people hardly have any political voice in this aspect. The electors that in return vote for the people generally aren't chosen by the people, the electors are generally chosen by the candidate's political party. Some state laws vary Source 1 If you faithfully are going to vote for the Presidential candidate of your choice, you should be able to have faith in your vote. Those in favor of the Electoral College could make the remark that ""Voters in presidential elections are people who want to express a political preference rather than people who think that a single vote may decide an election...""Source 3 In the world of reality people don't just want make a comment and expect no reaction, people want to be heard. This is similar to voting, people want their vote to count toward the candidate of their choice not the electors for the candidate.

This then runs into the problem of unfaithful electors. Their votes are never for sure. Although they claim to have ""trust that is rarely betrayed"" Source 3 you can never be a hundred percent sure in the electors. ""Faithless electors have occasionally refused to vote for their party's candidate and cast a deciding vote for whomever they please..."" Source 2 If this happens the popular vote actually wouldn't go to the thought candidate.

""Perhaps the most worrying is the prospect of a tie in the electoral vote."" Source 2 In a case of a tie the vote would go to the House of Representatives. This means that each state would only be able to cast one vote. This is not a smart backup plan. It is not fair for states of different population sizes to have one vote basically being categorized as one. Proportionally it is not right for a state who represents 500,000 such as Wyoming to recieve the same number of equally weighted votes as a state who represents 35 million such as California. Source 2 The Electoral College also follows the ""Winnertakeall"" method. This means that most in most elections the focus is on the swing states or toss up states, all the efforts go to these states. Even though ""the voters are most likely to be the most thoughtful voters, on average, and the most thoughtful voters should be the ones to decide the election"", as said by those who believe in the Electoral College Source 3 what about the voters who have been faithful all along? How can you expect them to feel when they barely get noticed? Those are the ones the candidates should be thanking and having gratitute toward because they are the ones who will be supporting them and their campaign.

I know that politics are filled with misconceptions and many confusing roles and aspects but please consider my thoughts and words. I speak for the voiceless and my fellow neighbors, but most importantly I speak for what our government was founded upon, WE THE PEOPLE.",0,578
3,"Luke joined the seagoing cowboys because he wanted to be helpful. but here is the thing no one else from his town joined probibley because they were to scared to even think about even doing the job i cant believ he was the only one to join that is just not right. so some one else needs to join. but no one will join at all so he is the only one to do the job and if i were him i would be so mad i would just quite.

one reason why people should join because they would go tho diffrent places and meet diffrent people and try diffrent food because in the story it says that Luke went to CHINA and gave tem mules horses and cows because some people eat cow and the also ride the horse and mule but they also use them to transeport goods and to till the filde.

now for the conclusion everyone is good at something and every one gets a oportunity to do something in the world because everyone is diffdent ,way diffrent but we all need to be treted the same way. treat others the way you want to be treated.",0,201
4,"Driveless cars sound really cool and up to date to many people. People would think they wouldnt have to pay any attention to their surrondings, the road, or have any sense as to where they are going. These driving cars are developed to have vibrating drivers seats when the vehicle is in danger and the car has absolutley no control over itself no matter how dangerous the situation is. The driver himself would have to do everything he could to get the car in control and to avoid the incident as soon as possible. So why would even get a driveless car if you have to take control every once in a while? Driving cars sound pretty dangerous and could possibly put you in an accident.

When you hear about driveless cars, you'd really like to think you dont have to do much of anything since the car is in control itself and you have all this time to relax. Wrong. The driver DOES have to take immediate control when the car is in danger, (could be of backing into an object etc.), navigating through work zones, and having to work your way around accidents.

""The car can handle driving functions at speeds up to 25 mph."" Only 25 mph. How come these things can't handle being on the highway or interstate? The driverless car sounds usless and it's another excuss for people to be lazy. Actually, couldn't you lose braincells if not paying full attention to what you're doing in the car/on the road? Maybe not lose braincells but in a way this driverless car could possibly mess you up in a way mentally because in that moment you dont have a care in the world and thing you don't need to pay attention to what's going on around you inside the car. It could maybe make you lose hope for yourself because now you can depend on something else to do something for you even though you're still in the use of danger inside a driverless car. Manufacturers are wasting their time.",0,344
5,"The Facial Action Coding System is a very useful tool used to help tell what other peoples emotions are just by their facial expresions. Having this technology can be very helpful in the classrom. It can help define the mixed emotions of a student, how they feel of a topic they are learning, and if a student is telling the truth.

The first reason as to why this technology is useful in the classroom is defineing the mixed emotions of students. In the artical it says ""The software can even identify mixed emotions"" (paragraph 4). Being able to identify mixed emotions of a student can be helpful. Sometimes a student may be stressed and upset over something, making it hard for them to concentrate on their work. You can't just let them not work though, but knowing their feelings you may be able to take it more slow paced for them that day. The student may have felt angry and stressed before they came into class, explaining why they got so upset when they couldn't find their homework.

Another reason this would be useful in class is by defining how they feel about a topic in class. In this article it says ""A classroom computer could recognize when a student is becoming confused or bored... Then it could modify the lesson"" (paragraph 6). Having this tool say when they are confused is extraemly helpful. It lets the teacher know they may need some extra help, and the computer know to explain things in a different way. When a student becoms bored of what they are doing it becomes hard for them to concentrate, or causes them to want to rush through.

The final reason Facial Action Coding Systems should be in classrooms is because it can help tell when a student is lying. In paragraph 8 of the article it says ""Muscle clues are sometimes used to spot when a 'smiling' politcian or celebrity isn't being truthful."" This can help a teacher know when an anxious student needs help, but says they don't. Some students may be too anxious to actually speak up when they need help, causing them to lie when a teacher ask them if they do. This also comes in handy when a student has done something and no one knows who it was, like tearing down a poster or putting a tac on the teachers seat.

In conclusion, this technology would be very useful for classrooms to define a students emotions to improve work, help a confused or bored student, and spot out lairs.",0,428
6,"For years, the United States has been mass producing and using cars. It may sound surprising, but America has already reached its peak when it comes to buying cars (source 4). More and more people around the globe have begun to realize the benefits of using alternative means of transportation. Places such as Vauban, Bogata, Paris, and even New York have implemented programs to encourage the limitted use of cars. The idea of giving up such a comfort may sound tragic at first, but reducing car usage has many advantages.

We use cars everyday for pretty basic purposes. To get to work or school or to run errands are just a few examples. Now, imagine what would happen if a car were not available to you. It probably would not be the end of the world. You could catch a bus or ask for a ride from somebody. If you really needed to, you could even ride your bike or walk to wherever you needed to go. People in the past tended to fear using alternative transport, for varying reasons. Maybe friends or family are not willing to give rides. Maybe the sheer thought of walking a mile may seem terrifying or ridiculous. The most common reason is probably that having a car is just too convienant, it seems that there is no need for any other way of transportation! But life can and should be adjusted to fit into these sources of transport. In Vauban, Germany, for example, residents have given up their cars in favor of a life without them (source 1). I just proves that contrary to popular belief, cars are actually not a neccesity!

Citizens in Vauban, Germany walk or ride bicycles when they need to go someplace (source 1). It's almost needless to say this, but they have a much healthier lifestyle than most car-owners in the United States! They are not afraid of walking or riding a bike a bit to get where they need to. Not only are these people in better physical shape, but one mother, Heidrum Walter, tells us that when she had a car, she was always tense, but now that she has given it up, she seems happier (source 1). Carlos Arturo Plaza, in Bogata, Columbia, says that using his bike on their annual no-car day reduces his stress levels. There is a direct corrolation between physical activity and mental well-being. The more activity, the better you feel. By limitting car usage, we are also encouraging the physical exercise that comes in place of it, making us a happier, healthier community.

Maybe the most important reason to reduce car usage is to protect our enviroment. By obtaining and burning fossil fuels, we are both running out of this resource and posing the threat of spills and air pollution to our environment. The gasoline we use to fill our cars certainly won't last forever. It won't even last for much longer at the rate we are burning it at. Also, spills can be devasting to the ecosystem it impacts, as we have seen in the past, for example the BP oil spill. Perhaps the biggest disadvantage to the gasoline we use to fill our cars is the air pollution it leaves behind. Transportation is the second leading source of emissions in the US, behind power plants (source 4). Also, in Paris, the smog from automobiles got to be so bad that they set laws to ban cars on certain days (source 2). Just by reducing car usage for a few days, the smog cleared tremendously. It wouldn't be hard at all for each individual in this community to cut back on the amount of time they spend driving in their cars, if for no other reason than to keep our Earth clean.

Over the years, we Americans have grown accustomed to relying on cars for our every need, but we can't do that anymore. As a community, we need to open our eyes and see the changes happening around us. Cars are not a neccesity. We don't even need to completely get rid of them, but it is neccesary for us to cut back, for the sake of our health and our environment. It may take some getting used to, but I promise, it is more than possible. In the words of Bill Ford, we can soon move forward to a world where ""pedestrian, bicycle, private cars, commercial and public transportation traffic are woven into a connected network to save time, conserve resources, lower emissions, and improve saftey."" (source 4).",0,760
7,"Have you ever looked in a telescope and seen the Face on Mars? Many people believe the The Face on Mars was created by aliens, but it is a natural landform. The Face on Mars is a natural landform because images from a JPL website showed the Face was a natural landform, the Face looks like Middle Butte in the Snake River Plain of Idaho, and if there was an ancient civilization on Mars NASA would benefit from it.

First, on April 5, 1998 Mars Global Surveyor flew over the Face for the first time. ""Michael Malin and his Mars Orbiter Camera (MOC) team snapped a picture ten times sharper than the original Viking photos."" (7) When a JPL website revealed the photo many anxious waiters were astounished that the Cydonia was a natural landform.

Secondly,

Jim Garvin, chief scientist for NASAs Mars Exploration Program, confirmed the Face was a of a butte or mesa. It reminds me most of Middle Butte in the Snake River Plain of Idaho, (12) Mr. Garvin also claimed Thats a lava dome that takes the form of an isolated mesa about the same height as the Face on Mars. (12) Which means that the Face on Mars is very similar to a lave dome, butte, or mesa.

Next, if there was an ancient civilization on Mars and they made the Face then NASA would benefit from it. ""Some people think the Face is bona fide evidence of life on Marsevidence that NASA would rather hide, say conspiracy theorists. Meanwhile, defenders of the NASA budget wish there was an ancient civilization on Mars."" (5) This quote is explaining that if NASA knew there was an ancient civilization on Mars then they would benefit from the civilization. Why would NASA keep an ancient civilization on Mars a secret if they could benefit from the situation?

Finally, the Face on Mars is a natural landform because images from a JPL web site showed the Face was a natural landform, the Face looks like Middle Butte in the Snake River Plain of Idaho, and if there was an ancient civilization on Mars NASA would benefit from it. Now do you believe the Face on Mars was created by aliens?",0,371
8,"The Face...something conspiarcy theorist have gripped on for forty years. It is just a rock with shadows, NASA uses a camera so good that it is possible to see an airplane from it, and if it was an alien construction NASA would publicize it just to be able to get more funds for the space program. Come on people, you have got to get over the possibility of life on mars, we have been searching for forty years now.

First thing is, it is just a mesa on Mars. The shadows on it and the concaves give off the optical illusion that it is a face. There is no life on Mars, therefore there is no way it could be artificial. ""There must have been a degree of surprise among mission controllers back at the Jet Propulsion Lab when the face appeared on their moniters. But the sensation was short lived. Scientists figured it was just another Martian mesa, common enough around Cynodia, only this one had unusual shadows that made it look like an Egyptian Pharoh."" (P. 2) This shows that no matter how people wanted to believe, there was just not life on Mars.

NASA's camera spanned 1. 56 meters in 2001. ""So, if there were objects in this picture like airplanes on the gorund or Egyptian-style pyramids or even small shacks, you could see what they were!"" (P. 11) This excerpt shows that with a camera as such a high grade as this one that there was barely anyhting on Mars surface that could be hidden.

While there is the smallest chance of the consiracy theorist being correct about the structure being artificially constructed and such, NASA would let this out. Let's go ahead and assume the theorist are correct. Spot on. NASA has been cut off by the government and has to pay for all of their journeys. NASA would bring this to the public in the hopes of getting funds and people wanting to work there for the future that could be. ""Some people think the Face is bona fide evidence of life on Mars- evidence that NASA would rather hide, say conspiracy theorists. Meanwhile, defenders of the NASA budget wish there was an ancient civilization on Mars."" (P. 5) This quote shows that NASA would quite appreciate the civilization on Mars, if there was any.

People have got to get over the possibility of life on Mars, even if it was there it is probably as small as bacteria this moment. This hump of dirt and rocks is not a face, NASA's cameras are so enhanced we would see signs of artificial construction, and NASA would tell us that way they could get their hands on some money. Come on guys, it's been forty years, give it a rest.",0,465
9,"Everyone wants to go to the park with their children or grandchildren, or maybe just take a nice walk. With the way we live now everything will be too polluted because alot of people drive cars and dont take the bus,walk, or carpool. Yes, people should limit their car usage. They should limit their uses because owning a car is expensive, it promotes the use of walking and public transportation, and it reduces smogpollution.

Owning a car is more expensive then you think. In a city such as Vauban in Germany that has only two places to park, a large parking garage, and a develment where the car owner needs to buy the spot for forty thousand dollars along with a home. In places like Bogota, Columbia on their national car free day all violaters will be fined twentyfive dollars. It may not seem like alot, but it all adds up at the end of the day. In places like Paris motorist with even numbered license plates receive a twentytwo euro fine 31, and the following day motorist with odd numbered plates received the same fine. Almost four thousand drivers were fined. those are just instances where fines have occurred, other expenses are gas. Some people who are wealthy and have money won't be impacted by this the same way an average family with three children will.

Most people take public transportation for granted. Imagine if we didn't have busses, trains, and subways. Imagine having to drive to New York City instead of the subway. It is not a pretty thought. In places like Bogota, Columbia that has a national day without cars people use public transportation or walk, unless they want a twentyfive dollar fine. According to Mayor Antanas Mockus "" The rain hasn't stopped people from participating."" Cities such as Cali and Valledupar have also done what Bogota has done, and Municipal authorities from other countries came to see the turnout, and they were enthusiastic. New York is promoting a bike sharing program that allows people to ride bikes through the city and return them at any location. ""me. Sivaks's son lives in San Francisco and has a car, but takes the Bay Area Rapid Transit when he can even though it often takes longer then driving."" Even though some people don't take public transportation beacuse they are too cool for it, they might just need to in order to save the place they live.

Have you ever wondered why you can hardly see the stars at night? It's not because they aren't there, but it is beacuse the smoke from the pollution and smog is covering the view. After days of nearrecord pollution Paris has enforced a partial driving ban to clear the air of all the polution. Congestion of the smog only went down sixty percent in five days. The reason was of diesel fuel which is more used because france has a tax policy that favors diesel over gasoline. Places like Bogota, Columbia who have a day without cars have a day for pollution and smog to be reduced, and places like Vauban, Germany who only have cars on the main thoroughfare virtually have no smog or pollution beacuse they don't allow cars in homes. Even though it's a hassle to change everything to do it, but by just doing one thing a time they are helping the enviroment.

Now that we see and know that the people of Vauban, Germany live with no cars, and the people of Bogota, Columbia have a day with no cars. those places don't have as much pollution such as Paris who had to ban driving so they can reduce pollution. We know that in Vauban you can park the car for forty thousand dolalrs, or get fined for driving on the one day you are asked not to. All thoose reasons only promotes public transportation or walking. So yes, people should limit there use of cars because it is expensive, it promotes the use of walking and public transportation, and it reduces smogpollution.",0,675
