text,label
"Driverless cars should not be aloud. The roads are already unsafe, it could harm other people and It would be very costly to afford a driverless car. If we invented driverless cars it would become a problem. ""In the late 1950s, General Motors created a concept car that could run on a special test track. The track was embedded with an electrical cable that sent radio signals to a receiver on the front end of the car.""

The roads are already unsafe. People are already reckless drivers and don't follow the rules or pay attention to the roads. If we were to get driverless cars, do you think people would more careful? Cars have sensors, cameras ,GPS etc. already built into cars. Why do we need cars that can drive by themselves? It is unnessisary for us to drive driverless cars. In the 7th paragrapgh is says "" The human driver must remain alert and be ready to take over when a situation requires."" If the car is driverless why would we have to take over it should be safe as possible?

Driverless cars could harm other people on the roads. If a car is incontrol, a human will not be able to stop it. With all of the technology getting put into cars we could be in big trouble in the future. Do you want a car that is driverless? More accidents could happen, if a driver is in the front seat and the car is driving by its self, and the person is not paying attention to the road and something is going on with the car do you think that would be safe?

Driverless cars could be very costly to people, with everything they are trying to put into cars, the cars could be very high in price. So why make them? If only a couple hundred people can aford them why waste all the time to build one. I think driverless cars should not be aloud. Think of someone you know in one, its very unsafe.

In conclusion, cars should not be driverless. The roads are already unsafe as it is, it could harm other people on the road, and it could be very costly. Driverless cars should not be aloud.",0
"People should join the seagoing cowboy program because you would vist small towns and places you'd never seen before but being seagoing cowboy doesnt mean youll just go see random places. This program will open a new understanding of the world its self.

Although it sound all fun and games, there are risk so you got to be careful with making decisions, and acting properly at the places we go thier is also a chance you can learn new things in your expirents.

There a so many things we can teach you such as being a good map indecator, getting and showing respect . doing work with others can help you improve your social skils and mental way of thinkig.

This is why i know you should join because there is a benifity of you learning new skills and have a graet time doing it join, but remember there is also risk in doing so.",0
"In ""The Challenge of Eploring Venus,"" the author suggests that studying venus is a worthy pursuit despite the dangers it presents. All throughout the artical the author gives lots of information on why we should study venus even with there being danger all throughout the planet. he talks about the dangers there could be, but the reward would be bigger in the long run if we explored venus. because of that he wishes to do so.

in paragraph 8 he states "" Striving to meet the challenge presented by venus has value, not only because of the instigtht to be gained by itself, but also becuase human curiosty will likely lead us into many equally itimidating endeavores"". he pretty much says that because of human curiosty it will happen with or without venus having dangers and he believes that we should do somthing before someone else does in the future. he believes even if there is high tempatures, radiation storms, and how 92% of the air is carbin dixoide which is all stated as dangers along with many other dangers of venus on paragraph 3. that we need to do more test and make more things to withstand veuns.

With all of these dangers it states in paragraph 7 ""looking back to an old techonology called mechanical computers. these devices were fist envisioned in the 1800s and played an importan role in the 1940s world war ll"" it wasnt actual computer, they didint exist in those days they were devices that made calculations by using gears and levers. the authour believes that is if somthing like that can survive world war ll than it should be made again to go down for testing and studying on venus.

all throughout the artical he has supported his claim very good on why we should study venus despite the dangers on venus. with loads of things of evedice all throughout this artical he talks about the dangers there could be, but the reward would be bigger in the long run if we explored venus.",0
""" I cant believe that the face was made by real life aliens its unbelievable! "" Jim said

"" Dont tell me you believe that the fae was made by aliens. "" i said

"" Actually yes i do. I believe aliens are truly real and don't care what anyone says. "" Jim said

"" Jim there is no such thing as aliens maybe they may be real, but we have no sign or evidence that aliens are truly real. You watch to many Sci-Fi movies jim you need to lay them off for a while. "" I said

"" Well if you think aliens don't exist then tell me prove to me how the the face was made then. "" Jim said

"" Ok i will let me just go and get the picture. ""

I said

In my head i am thinking jim is nuts there is no way an alien had made the face.

"" I'm telling you jim aliens did not create this. "" I said

"" If aliens didn't creat this explain to me why or how this was probably formed from the picture. "" Jim said

I look at jim right in the eye and was glad to show him with confidence that i was right and he was wrong.

"" Look jim in 1998 when Michael Malin and his Mars Orbiter Camera team flew over cyndonia for the first time Michael and his team to ten pictures sharper than then the ones that the viking's photos took. When we all saw the photos it revealed a natural landform and no alien monument. "" I said

"" I still don""t believe you. "" Jim said

"" So you want to me to explain more? "" I said

"" Go right ahead. "" Jim said

"" Garvin said that it reminded him of the Middle Butte in the Snakes River Plain of Idaho. Thats a lava dome that takes the form of an isolated mesa about the same height as the Face on Mars. "" I said

"" Well i guess you have a point there, but that doesn't change the fact that i believe in aliens. "" Jim said

"" Ok you can believe in whatever you want, but i was just simply telling you what we told to other people that also believed it was made by aliens. "" i said",0
"When looking at the Facial Action Coding System and seeing what it did for this peinting, I think it would be a great idea to use in the classrooms to reqd the students emotional expressions. Dr. Haung observes that many artists likr da Vinci did, and he relized that tney studied human anatomy, this is how they were abel to paint facilmuscles precisely. Dr. Haung relized that by haveing a machine like this one, doctors would be abel to performe better surgery by useing video surgery and or better graphics for video games, beter quality images of human faces and better muscel pictures would become a huge hit in the medical field.

Dr. Eckman and Dr. Haung were both abel to figure out that if you raise your lips at the corner of your mouth, squint your eyes slightly, and raise the outer parts of your cheeks toward your eyes, your lab partner would be clueless on what emotion you were performing. These are the instructions on how to look happy says Dr. Haung. The Facial Action Coding System can even detect when you are forcing a fake smile instead of a real simle.

This is why I feel that putting the Facial Action Coding System into schools acros the globe would be a good thing. Not only would this give the schools feed back on how their students mental state changes throughout the day, but also this machine would help detect early signs of depression and posibly signs of bullying. When students tell teachers they are not getting bullied or hurassed, the Facial Action System might be abel to detect when a student is lying an d or not wanting to share all of the details in his or her life.

These are all the reasons I personally think the Facial Action Coding System should be placed in schools everywhere. People were interested in the face and how the mucels work even whe da Vinci was alive all the way to today when we are atill intdrested in how the fave and muscels not only work, but how they can be minipulated and how each emotion brings on different muscels.",0
"Dear Mr. President,

After reading informative essays on the Electoral College, i believe the Electoral College should be retired and change the election to popular vote during the election of our United States' president.

Although the Electoral College was established by the founding fathers in the Constitution (What is the Electoral College?, 1) it can cause something known as the disaster factor. This happened back in 1960 and 2000. John F. Kennedy was almost replaced by the Democratic electors who nearly succeeded opposing him (The Indefensible Electoral College, 3).

Another worry factor of the electoral vote is a tie. This could mean putting the election of the president into the hands of the Senate. This also makes Wyoming, who has one representative, have equal say with a state like California, who has fifty-five represenatives (The Indefensible Electoral College, 12). This allows for the opposite of the will of the people. Isn't that what we want? The will of the people.

The winner-take-all system in every state also makes the electoral college unfair to voters (The Indefensible Electoral College, 13). Putting the decision of our US president in the hands of a few voters in one state while others don't even get to see the candidates is absolutely unjust.

Although, there are a few reasons we should keep the electoral college. With the electoral college there is always a certainty of outcome (In Defense of the Electoral College, 18). This means that a candidate's electoral college votes exceeds popular vote. This cuts out the factor of a lanslide electoral vote in only one state; keeping in line the will of the people.

The Electoral College process of voting during election time is old, outdated, and unfair to our voting population. As a United States citizen, i think we should leave the election of our president up to popular vote; everyone will have a say and it takes out al the complications of electoral votes and representatives and most imporatantly takes the exact decisions of the will of the people.

Thank you for your time and taking my claims into consideration.

Sincerely,

Aimee Iorio",0
"In 1976, NASA was taking pictures of Mars and found what looked like a human face looking at them. When the news got to the public they emediatly jumped to the conclution that it was an alian artifact. I can reasure you that it is nothing more than a natural landform that looks like a face.

When NASA went back to retake pictures on April 5,1998, it showed that there was nothing at all but a nautral landform. The public still were not agreeing on it just being a landform due to them taking the pictures on a cloudy winter day. So the NASA team took pictures yet again on April 8, 2001. This time a cloudless summer day.

Garvin, a NASA worker, says,""If there were objects in this picture like airplains on the ground or Egyptian-style pyramids or even small shacks, you could see what they were!"" The 2001 pictures showed the ""Martian equivalent of a butte or mesa.""

So I rest my case. Even though an alian civilization on Mars is a really awesome thought, its proven to be not true. The face on Mars is no alian arifact, but just a really cool natural landform that looks lilke a face.",0
"Recent software innovations have came up with a really valuable idea. Its for humans and computers to better communicate. Its called FACS( Facial Action Coding System) and it is very valuable. There are many ways for it to be important inside the everyday classroom by being able to change the way an online class is taught. It's read through a students facial movements and able to read human expressions. So when a student gets stuck or can't keep up the computer can recoginze that.

In the passage it states "" a classroom computer could recoginze when a student is becoming confused or bored, then it could modify the lesson like an effective human instructor."" Not only is it reading the student to see how he/she is feeling but also change the way something is being taught so the student better understands and wants to pay attention and learn. It goes back to it being a valuable or important in the classroom.

Dr. Huang's FACS is a very valuable and well designed program and it should be used in ever classroom. There are more than a few ways it is needed in a everyday classroom. Students would well benefit from this because a teacher has to teach every kid and it is hard for them to have one on one time with all the students struggling. This would help give students a specially designed program that best suits there needs and abilities. thats why FACS is valuable in every classroom not just in the classrom but maybe even in certain work places or offices where they are needed.",0
"""I'm much happier this way,"" What caused someone to say this? Simply no longer owning a car! Based on how car dependant mostly everyone's life is and how badly most people that don't have a car want one you'd think that going from having one to lacking one must be terrible. Well statisically speaking we might all be moving towards this idea and it might not be such a bad thing!

According to the short article

In German Suburb, Life Goes On Without Cars

Vauban, Germany is home to people that have chosen to give life without cars a shot, many of which love the life style. 70% of Vauban's families do not own cars, and 57% sold a car just to go there. Although this has mostly only been done here many have started slowly adopting the idea. As the author, Elisabeth Rosenthal, of this article pointed out passenger cars are responsible for 12% of greenhouse emissions in Europe, and in more car populated areas such as the United States up to 50%. Robert Duffer stated in

Paris bans driving due to smog that in Paris Driving had been limited by their goverment due to extreme levels of pollution and after a short amount of time the ban was called off because the smog/pollution had lowered. Just one of the advantages of limiting the usage of cars would be cutting down these huge numbers and getting rid of these issues, and if you asked anyone im pretty sure they'd say that this one advantage is plenty reason already to look into this. Imagine how drastically improved the planet would be if others adopted what Vauban is already doing!

Want a holiday to promote the limiting of cars? Well there actually is one in Bogota, Colombia! Millions of colombians hike, bike, skate, or take buses to places like work on this day. It already has three years running so far, even if its raining that day, the mayor claims that it doesnt stop people from participating. This day is starting to also branch out to other colombian cities such as Cali and Valledupar, imagine if eventually it becomes an international holiday, the advantages are everywhere. Due to the limiting of car usage there are more people walking on the sidewalks and this has caused the goverment to improve those sidewalks by making new smooth ones and getting rid of the old cracked ones. More restaurants, parks, sports centers, and even entire shopping centers have been built and opened to the people walking which is a life style improving advantage. If the limiting of cars is done in more places then new things to do and try will open up in that area and in turn prove to be a great advantage from limiting car usage.

Elisabeth Rosenthal has writen about the possibility that in the United States the peak of driving has been reached. As it turns out Americans are buying fewer cars, driving less miles on average, and getting fewer licenses every year that goes by. If such a large population such as the United States is cooling down on car usage why not speed that process up and goverments start slowly but efficiently reducing car usage internationally? This would mean that in public transport there would be more socializing because the people that take that same bus everyday at 7:00 AM along with you would become your friends or at least aquaintances. So when you think about it friendships might even come with car limiting as well!

From the reduction of polution to the improvements of everyday life style to even possibly socializing with new people, the possibilities of car usage limiting are endless. Who knew that a simple taking of a bus or riding a bike to work could have such a large impact on the world around you!",0
"""The Challenge of Exploring Venus"" is a paper that sets out to support that studying Venus is a worthy pursuit despite the dangers it presents. After analyzing the paper, I am prepared to make the claim that the author fails to do so. He/she presents a vast array of information on the dangers of exploring Venus, as well as the challenges of doing so, but forgets almost entirely to argue that studying Venus is still is worthy pursuit. The majority of the essay focuses on setbacks, not rewards.

The author begins by explaining how spacecraft cannot survive on Venus long, and that previous missions have been short for that very reason. The pessimistic tone is continued in Paragraph 3, where the author describes the formidable heat, pressure, geology, and weather of Venus, and how such intense conditions would complicate research efforts. It states, ""A thick atmosphere of almost 97 percent carbon dioxide blankets Venus. Even more challenging are the clouds of hihgly corrosive sulfuric acid in Venus's atmosphere."" In paragraphs 5 and 7, possible ways to combat these road blocks are discussed. Left out of the conversation is the ""why?"" The author describes NASA's efforts to bipass Venus's problems (like designing a hovering device or considering the use of mechanical computers) but doesn't fill readers in on why such pursuits would even be worth the effort. The question, ""We can, but why should we?"" is not answered.

To say that the author was not successful in vouching for rearch of the planet Venus is not to say that attempts were not made. Paragraphs 4 and 8 make a few attempts at telling readers why researching is still a good idea. The author informs readers that Venus is of-interest to scientists because it is the most Earth-like planet in our solar system. Mentioned also is that Venus is sometimes the closest option for planetary visitation, making its exploration a more economical choice than other planets. Paragraph 8, the conclusion, says, ""Striving to meet he challenge presented by Venus has value, not only because of the insight to be gained on the planet itself, but also because human curiosity will likely lead us into many equally intimidating endeavors."" Here the author is saying that Venus should be studied because we can gather information, and humans are curious. This is not science or fact-based, and is not strong because it is common knowledge, not argumentative material. If addressing why researching Venus is a worthy pursuit is supposedly one of the focal points of the 8-paragraph paper, evidence supporting it should be found in more than two places.

In conclusion, ""The Challlenge of Supporting Venus"" did not do a good job of supporting the idea that studying Venus is a worthy pursuit despite the dangers. In fact 6 out of the 8 paragraphs talk mostly about what a struggle exploration would be, and the work it would require. It focused more on giving the reader facts and figures about why studying Venus would be difficult, nearly impossible, even, but it did not thoroughly explain why such difficulties should be worked through, or why researching Venus is a fruitful and worthwhile endeavor.",0
