,text,label,WordCount,PronounCount,Readabilty,ParagraphCount,ParagraphSizeCohesion
0,"We as people want to explore to new levels that no one has ever been to. Some of those things could be going to Venus. You would be the first person to go, everyone would love you, and you would get so much fame. Here's some things that you don't know about. It's exreamly dangerous and your chances of survival and very slim. By slim I mean next to none.

The planet is 97% carbon dixoide so we wouldn't be able to breath and you have have to be in a space suit with limited oxygen supply. Next, you wouldn't be able to touch the surface considering that the average temperatures and 800 degress fahrenheit. When you're there you won't be able to collect materails such as rocks, gases, or even anything else because you won't be able to get to there surface and anything you use to try to touch the surface will melt.

When you are there you will be experiencing 90 times more atompheric pressure than you would here on earth. It would literally crush you to be present on the surface of Venus. Not to mention you could be the second fatherist away from earth and that'll make it longer to get back to earth than normal. Also, when you are there the planet is rotating faster than it would on earth and make you very sick.

So, before you decide to make big leaps and explore new places you got to know what you can and can't do. The author from the article ""The Challenge of Exploring Venus"" gave me my information and did an amazing job explaining and getting me to understand how harse Venus could really be. You are limited to far heights and it's your choice to find them.",0,297,6,7.203868227424749,7,197.3958004639823
1,"Cars are an essential part of life; they get us from place A to place B, but so do bikes, buses, trains, and your very own feet. In Vauban, Germany, residents have gone where few soccer moms or communting executives have ever gone: they have given up there cars. ""Residents of this upscale community are suburban pioneers."" (Rosenthal 1) In a world filled with pollution, stressed adults, and unhealthy people the advantages of limiting car usage are infinite.

Limiting car usage in the world would most definitely reduce the amount of pollution that is ruining our ozone layer. If it wasn't for the ozone layer humans would be long gone and wouldn't come back any time soon. In Paris, France, the goverment enforced a partial driving ban because of the near-record pollution. ""On Monday motorists with even - numbered license plates were ordered to leave their cars at home or suffer a 22-euro fine. The same would apply to odd-numbered plates the following day."" (Duffer, 11) After five days of partial driving, congestion was down an incredible 60 percent. What if after five days they kept going? The city would look and feel brand knew and it would be safe for citizens  to breathe the air.  Similarily, our very own President Obama is trying to curb the United Sates' greenhouse gas emissions. "" As of April 2013, the number of miles driven per person was nearly 9 percent below the peak and equal to where the country was in January 1995."" (Rosenthal 32) This means that people are choosing better ways to get from place A to place B, and if this trend persists "".. it will have beneficial implications for carbon emissions and the environment..."" (Rosenthal 34) As you can see, there is hard eveidence that limiting car usage in the world would reduce the amount of pollution.

Furthermore, limiting car usage would help to relieve the stress of our everyday lives. How much traffic will there be? Am I going to get to work on time? Oh my god, I am out of gas and I passed the nearest gas station? Heidrun Walter, a citizen of the car-free Vauban, Germany, says,"" When I had a car I was always tense. I'm much happier this way"" Also, the stress levels of adults get higher when they become parents who have children driving. I know my mom doesn't sit through a full car ride with me without stomping on her imaginary brakes. But, it seems to be that, ""there has been a large drop in the percentage of 16- to 39 year olds getting a license.."" (Rosenthal 38) Moreover, even one day without driving makes the Columbians in Bogota, Columbia, less stressed and more relaxed. Business man Carlos Arturo Plaza rode a two-seat bicycle wih his wife to work that day. He says, "" It's a good oppurtunity to take away stress and lower air-pollution."" (Selsky 24) Limiting car usage, like these small cities have done, helped to relieve stress of their citizens which is why it is a huge advantage.

Lastly, limiting car usage would better the well being of our fellow citizens. Imagine, a business man who works in an office for 10 hours and then gets home just in time to eat and catch a few hours of quality television. When does this man have time to exercise? He sits in his car, sits at work, sits to eat, and sits to watch tv. If we limited car usage, this man would have to ride his bike or walk to the bus stop to get to work everyday, which is good for his health. Similarily, we have children who spend more time in front of a computer screen than playing outside like children should. But, what parent would let there kids play outside when there's tons of cars on the road? In Vauban, Gemrany, the streets are filled with bicylcles and the chatter of wandering children beacuse there are no cars to be afraid of. Limiting car usage can better the well being of oursleves and everybody around us.

In conclusion, there are many advantages of limiting car usage in the world today. On every sidewalk, you would find relaxed and healthy people breathing clean and healthy air. We can create cities in which ""pedestrian, bicycle, private cars, commercial and public transportation traffic are woven into a connected network to save time, conserve resources , lower emissions and improve safety."" We will never achieve a perfect world but it is not romantic or naive to work towards one.",0,761,20,8.891516735523641,9,495.4030408056718
2,"Limiting car usage has many advantages. The most important advantage is reducing pollution. Vehicles emit greenhouse gasses from their tailpipe. ""Passenger cars are responsible for 12 percent of greenhouse has emissions in Europe.... and up to 50 percent in some carintensive areas in the United States"", as said in source one, In German Suburb, Life Goes On Without Cars.

One of the main reasons the pollution is so bad in Europe is because of the diesel fuels. According to Reuters, ""Diesels make up 67 percent of vehicles in France, compared to 53.3 percent average in the rest of Western Europe. Paris had 147 micrograms of particulate matter, Brussels had 114, and London had 79.7. The numbers show that there is a direct correlation between the percent of diesel used, and the amount of pollution in an area.

Limiting car usage also helps cities grow. In Bogota, 118 miles of bicycle paths were constructed. Along with parks and sports centers blooming up, side walks have been replaced. Even new restraints and shopping districts have been built. And on top of all this, traffic has been majorly reduced. As said in the exerpt, Carfree day is spinning into a big hit in Bogota , ""These people are generating a revolutionary change."" Not only does reducing the amount of cars help the environment, it's better for your health. Pollution doesn't only affect the environment, it also damages the body. As the air gets polluted by greenhouse gas emissions, you breath in that air. And that contaminated air is the same contaminated air that is being cycled throughout our body. On top of that, reducing the usage of vehicles would force you to find a new way to get to your destination. You might resort to walking, jogging, bike riding, skating, or anything else you could think of. Limiting car usage would force you to exercise, which is obviously very beneficial to one's health.

Another advantage of limiting vehicle usage is the money that would be saved. Limiting vehicle usage would result in not buying gas as often. And as expensive as gas can get, that would would be a lot of money saved. If you went as far as selling your vehicle, there's even more money that you would benefit from.

So there are many advantages that result from limiting vehicle usage. For one, it reduces pollution, which is bad for the environment, as well as our health. Secondly, it would force us to exercise more. And lastly it would save us a lot of money.",0,423,4,8.943200483403158,9,329.18286411156237
3,"Dear, Senator I'am a conserend voter that believes you should represent the people of your party and should apose the electoral college. It causes an unnecessary complication for voting for who will represent the face of the best country on earth. We the people do not want to get the wrong president to represent the majority of the population. The chances of an undefined out come through electoral college may be low but when it comes down to the presidency nothing should be left to chance.

The voters should know how the system of voting for president. They are the ones that decide so they should know how there vote can be used to have the greatest affect. Bradford Plumer states ""voters sometimes get confused about the electors and vote for the wrong candidate...sometimes"". A democracy is when the people decide the destiny of there country. For them not to know what there chosing takes power out of the hands of the people.

The Winnertakesall system is ok when your on the playground as a childs it does not work in the real world. This system creates Swing States. according to Richard A. Posner ""method of awarding electoral votes induces the candidates to focus their campaign efforts on the tossup states"". This draws attention away from other states. Bradford Plumer explained that ""During the 2000 campaign, seventeen states didn't see the candidates at all"". He also clames ""putting the fate of the presidency in the hands of a few swing voters in ohio"". This is not right each vote should be just as important as another and no state should be the deciding outcome in an election.

Chance is a crazy thing. If there is a chance of something happening and it's given time it will happen. A number of weird outcomes can happen with electoral college. One outcome is the possibility of having a tie. Richard A. Posner explains""A tie in the nationwide electoral vote is possible because the total number of votes538 is an even number"". If a tie happens the represenetives vote for the people and because each state has one vote per electoral college...""55 representatives from california, who represent 35 millon voters."". Second posible out come is the majority vote goes to one canadite and the electoral college goes to the other. For example Bradford Plumer wrote""This year voters can expect another close election in which the popular vote winner could again lose the presidency."" These are just two of the odd outcomes of electoral colleges could cause.

Electoral college don't solve problems but creat them. The best way to put it is this...""It's official: The electoral college is unfair, outdated, and irrational. The best arguments in favor of it are most assertions without much basis in reality. And the arguments against direct elections are spurious at best.",0,472,2,8.400496357063403,9,312.238315125
4,"I'm strongly against with have driveless cars,the chance of having car accident are higher,technology has arrived but not fully fuction,and the cost for driverless car.

The chance of a accidents are higher. ""Why would anyone want a driverless car that still needs a driver?""Drivers will have to be alert to any happening.""Wouldnt drivers get bored waiting for their turn to drive?"",This lead Drivers most like falling sleep or more like geting distract from the feedom of useing hands lead to texting or active invole using your hands. Drivers will not have enough time to respond to take over car. Which leds to next problem technology.

Technology has arrived but not fully fuction. Technology has adavance some much in little amount time. What took developers decades to do in the past. will take developers today a matter of months at most. but we still have problems beacuse, technology has adavance some much we have to face new problems.""Automakers are continuing their work on the assumption that the problems ahead will be solved.""Although we have driverless cars today it require a human.

The cost if driverless car. the car will cost a fourtue.""For starters, they needed a whole lot of sensors.""it took years to develop and technology in the car. the coverage for driveless cars most be expenisve beacuse of cost car and the danger it brings.""order to cover liability in the case of an accident. If the technology fails and someone is injured, who is at faultthe driver or the manufacturer?""

Reasons why i strongly against with have driveless cars,the chance of having car accident are rise,technology has arrived but not fully fuction,and the cost for driverless car.",0,277,4,8.248208695652174,9,194.6423754504339
5,"Every living thing on planet earth has emotions. These emotions have been used since the beginning of time to express the feelings of the people around you. However, these emotions can be decieving. Someone could say they are happy, when really they are angry or upset. This is where the Facial Action Coding System comes into play. The FACS is a software that detects human emotion by tracking muscles in the face. For example, when you are happy, muscles in your face move up, and when you are sad, they move down, FACS tracks this and calculates your emotions. The creators of this software, Prof. Thomas Huang and Prof. Nicu Sebe are the leading experts of developing better ways for humans and computers to communicate. There are still some questions surrounding the usefulness of FACS, like what could this software actually be used for? One of the ways FACS may be used is in classrooms. It may sound far fetched, but actually, FACS may be the best thing to come to schools because of its flexible learning and the ability to read the students.

In the education world, teachers are the backbone of the infestructure. Without teachers, the whole system would collapse. However, it may be hard for one teacher to connect with every student individually and make sure they are learning properly or if they are paying attention. This is where FACS comes in. In the article ""Making Mona Lisa Smile"", Dr. Huang talks about FACS in classrooms more in depth, ""'A classroom computer could recgonize when a student is becoming confused or bored,' Dr. Huang predicts. 'Then it could modify the lesson, like an effective human istructor.'"" With FACS, every child could essentially have a customized lesson plan exactly for their needs. This would make children more eager to learn because they begin to enjoy it. Besides the classroom, FACS could also be used in the school elsewhere. One of the other important areas this could be used is in counceling.

It is very hard for anyone to tell someone they are sad. This is especally true when they barely know the person they are talking to. This can be the case for school councelors and the children they are meeting with. FACS may be able to help. With FACS, the school could see if children are upset or scared. The school could also see how often these children feel this way. When a child is unhappy or scared, it is very unlikely that they are going to be doing their work at full capacity. If FACS could find these children that need help, they could be helped faster. This could also be used to find children being bullied. If the child is feeling scared around another student, or if a child is afraid of a classroom, they could be helped because FACS was able to read them. FACS may even be able to detect if a child is afraid of leaving school. With FACS, it's like every child in school has someone that is looking out for them, even if no one else is. It may be true that some children might not want people to know about this, that they may want to hide it. However, it is never healthy to hide such strong emotions, especally if there are people around you willing to help.

With the constant evoultion of the way we learn, its not suprising that something like FACS was created. Emotions have been with everything living since the beginning of time. Before FACS, it was suprisingly difficult to read these emotions in people. Such a crucial part of our everyday lives could be easily hidden away by a fake smile or a theatre tear. But now that there is FACS helping out, looks are no longer decieving.",0,634,2,7.295276275430361,7,489.90011476726517
6,"The author of this article is only focused on one thing in this article. They describe all of these reasons on why traveling to Venus is unsafe yet completely ignores his own reasoning by replacing it with an unrealistic claim stating that astronomers want to explore it. Also, while they explain the density is the same and how Venus is ""Often reffered to as Earth's ""twin"","" they bypass the subject of how much will it cost, how it will affect the United States as a whole.

The author is failing to realise just how unsafe it is to actually go to Venus. They do go on to talk about the ""electronis made of silicon carbide,"" but it doesnt change the fact that we could not survive eight hundred degree wheather and neither could a space ship. the space carrier would melt when it came into the orbit of Venus. Also if the atmosphere is 97% carbon dioxide is it really safe for anyone to go there. On Earth, we have a lot of pollution and a vast amount of carbon in the air but it is nowhere near the percentage in the article. Then you have a atmospheric pressure of ninety times more than our own. The article describes how that would crush a submarine that has been made to search the lowest points of the ocean. The article states in paragraph three, ""Also noteable, Venus has the hottest surface temperature of any planet in our solar system, even though Mercury is closer to the sun. Beyond high pressure and heat, Venusian geology and weather present additional impediments like erupting volcanoes, powerful earthquakes, and frequent lightning strikes to probe seeking land on its surface.""

The author is not taking into account the people who would need to go on this mission as well. We are talking about a human that if they were to get past the spot where they are orbiting that they will be faced with all of these horific obstacles. The lightning strikes would try to kill anyone who tries to find land on the surfac, yet they are trying to send people to find out about their curiosities? Are we okay with that? All of these factors will end up in a loss of a human if we try to step foot on Venus and that is not worth the curiosity of a few.

Attempting to go to Venus would be extremely costly and would be a very poor choice on our part in the long run. We are talking about putting a group of people and equipment that cost billions to trillions of dollars on a space exploration that has a vast possibility of not coming home. It would cost us a fortune and no onewould gain from it. Hypothetically, let's say the the craft landed, what are they going to have to face to get a rock and gas sample? The volcanoes, lightning strikes, and powerful earthquakes would kill everything and everyone on board before the can let out a sigh of relief. Venus may have been an Earth-like planet but as of right now, no one would benefit from an exploration there.

Venus can remain a mystery. The author writing this article is not thinking about the good for everyone and/or the possibility of it even becoming a reality. The whole article is flawed because even though we are alike in size and occasionally distance, no one has survived the landing for a reason. The planet is too dangerous for us to even think about trying to explore, so we will wait to see if factors change but for now the author wrote this article poorly. We are not ready at this point in time and we may never be but the curiosity of a few are not worth the risks.",0,638,15,7.9702208791208795,9,382.3259226250701
7,"The Seagoing Cowboys program is a very beneficial group. I am Luke Bomberger, and

I think you should join the Seagoing Cowboys program. This program is a job opportunity to help take care of animals that are shipped off to other countries that were left in ruins. When I was a Seagoing Cowboy, I helped others, took care of animals, and got to go to places all over the world.

The Seagoing Cowboy program has people taking care of animals such as horses young cows, and mules that are shipped overseas. When I worked overseas as a Seagoing Cowboy, I served as a watchman on my second trip. On the boat, I checked the animals every hour, and I cracked my ribs. Even though I got hurt, it was a good experience to work on a boat with animals. Along with helping others, you get to see many other esqusite places. I got to see parts of Europe and China, but the most special place I got to see was the Acropolis in Greece. It was also special when I took a gondola ride in Venice, Italy. And these are just a few of the amazing places I've visited! Being a Seagoing Cowboy is a lot of work, but it sure is a lot of fun, seeing and learning things from all over the world.

How did I become a Seagoing Cowboy, you asked? Well, my friend Don Reist invited me to go with him on a cattle boat to Europe, and I couldn't say no. It was an opportunity of a lifetime. In Europe, we heard about the UNRRA hiring people to take care of the livestock that was to be shipped to other countries. Don and I signed up. This decision changed my life forever. After I signed up, I got to do many things. That is my story of becomoing a Seagoing Cowboy, and now it's your turn to become one.

Now that you all know about my experience, come and see for yourself how great it is to be a Seagoing Cowboy. There are lots of fun things to do, and lots to learn! Have an adventurous time being a Seagoing Cowboy!",0,366,26,7.105511625794732,9,262.83783668844507
8,"Do you ever wonder why the world is becoming so much warmer by the minute? Not many people stop and realize what's the real problem. Us humans are the major problem in this situation, we don't see that we are taking what we have to an advantage. To our factories, cars, or even trash. The main one that is causing our greenhouse gases to rise is our Power plants, but following behind the power plants are vehicles. Cars have become a major impact in our lives, from hurting one another, to hurting the place we live on. Car-free cities are going to help make a big, helpful change in peoples lives.

In the city of Vauban, Germany 70 percent of the families do not own a car. Vauban is called a ""car-free"" place, cars aren't allowed on the streets of vauban. Many people sold their cars to live in vauban, all around vauban wants a healthy way of living. Vauban allows car ownership, but the cars are only to be parked in two places which are the garages. ""When I had a car i was always tense, I'm much happier this way,"" Heidrun Walter said. It is a much healthier and less stressful way of living, new ideas will always come in handy. The United States Enviromental Protection Agency is promoting ""Car Reduced"" communities. Hopefully they get someone to tag along with this promotion, and get supporters to enforce it.

Bogota, Colombia is going on their third straight year of a ""Car Free"" city. They are wanting to reduce smog, so buses and taxis are permitted. ""It's a good oppurtunity to take away stress and lower air pollution,"" Carlos Arturo claimed. There was a consequence to the ones who didn't follow the rules, which was a $25 fine that they had to pay each time. Eventually, Two other Cities in Colombia, Cali and Valledupar, latched on to the idea of a ""Car reduction."" You see many people walking, running, riding bikes or skateboarding. A lot of people like this new idea that people are going by,  it's an great way to step foward to save the earth and its problems.

Over time, Americans haven't been buying cars, driving less, and over years less people get their license. America is hitting its driving peak, The number of miles driven peaked in 2005 and then decreased signifigantly since then. Not many can afford a brand new car, or the insurance, most people are unemployed and dont work at all. Cars have been around for a long time, but over that time period it has caused major life impacting issues. ""Different things are converging which suggest that we are witnessing a long-term cultural shift,"" said mimi sheller. Many people aren't aware of this ""Car Free"" idea, which is an disadvantage.  If this idea was spread through televison, newspapers, or even social media many people will pick it up and take it into consideration.

In an overall sum up, it is better to live ""Car Free."" You wouldn't have to stress yourself out about gas prices, fixing your cars, or your world becoming a big ball of heat. If Transportation and power plants are the two major impacts in our lives, we need to knock one out. Until, we can get some second options on power plants our best choice is to forbid cars. We have many other options to get around our city, running, walking, riding bikes or etc. The ""Car Free"" idea is very creative, not many people would take inisuative to help make the world a better and safer place. With an exception of a few, buses and taxis will be there for long distance trips. Cars caused a huge impact on our lives, but hurting us and our home which we call earth. The business plan is ""pedestrian, bicycle, private cars, commercial and public transportation traffic are woven into a connected network to save time, conserve resources, lower emissions and improve saftey."" Think of all the advantages cars have given, but think about all of the disadvantages the cars have showed. Which one out weighs the other? Cars aren't always there to help us, life is all about choices, it's time to make yours.",0,704,23,7.6838782632002145,9,421.19829059482186
9,"Some people may think that the Face is not a natural landform but I am here to give you reasons why the Face IS a natural landform. The reasons I am going to give you are going to be in the paragraphs below, hope you like it and think

''which opinion is better in this essay?''.

The first reason the Face is a natural landform is because 25 years ago something happened on Mars, NASA's Viking 1 spacecraft was circling the planet, snapping photos of possible landing sites for its sister ship ''Viking 2'', but when the camera spotted the shadowy likeness of a human face, then they saw an enormous head nearly two miles from end to end seemed to be staring back at the cameras from a fregion of the Red Planet called '' Cydonia''.

Another reason that the Face is a natural landform is because after a few days , NASA unveiled the image which had shadows forming the illusion of eyes, nose and the mouth. But since it became so popular, the picture has starred in a Hollywood film, appeared in books, etc. They also said that defenders of the NASA budget wish there was an ancient civilization on Mars. But scientists believed that the Face was an alien artifact.

The last reason is that thousands of anxious people were waiting when the image first appeared on a JPL website, revealing a natural landform. But not everyone believed that.

The camera on board MGS had to peer thrrough wispy clouds to see the face, they say perhaps alien markings were hidden by a haze. People are also saying, ''We just dont pass over the face very often''.

But not everyone can be right because some people think its not a natural landform because it could be just a haze from something that was there at that specific moment and time to show that the face was there when it could have really been just a rock and not the Face after all. More reasons to this is that,even though it looked like a face...it couldnt have been, people couldve just seen the face that wasnt really there.

In Conclusion, people have different opinions on what they see and what they dont see in certain pictures. Some people see the face, some people dont see the face at all and that can be a good thing and a bad thing for some people who have different things to say about a certain subject. The Face couldve just been a rock in some peoples opinions, but some people think that it wasnt just a rock, it was an outline of a face.",0,444,3,7.780579820627803,15,182.55865419700658
