text,label
"In the article ""Making Mona Lisa Smile,"" the author, Nick D'Alto explains how a recent technology called the ""Facial Action Coding System"" reveals human emotions in pictures. This is actually rather convincing to believe. How can you identify a picture's emotions through a new software? The use of the new technology, ""Facial Action Coding System"" used to read facial emotional expressions is not valuable to students in classroom because it seems too expensive for a public school to use, it looks to be more useful at images, and video games.

""Facial Action Coding System"" is not useful to students in a classroom because it is expensive and mostly unaffordable for all classes. D'Alto explains what this technology is made up of, and its component looks expensive. On paragraph 3 the author explains that, ""The process begins when the computer constructs a 3-D computer model of the face; all 44 major muscles in the model must move like human muscles."" (D'Alto 3) Having a 3-D model computer in classes not less than a hundred is money consuming and might ruin the school's budget. Having such prestige technology in class does not mean the students in the classroom will learn better or try changing their facial expressions.

Also, most of these type tehnologies are useful mainly at expensive images such as Mona Lisa portrait. This type of system only helps solve the mysteries behind old images such as Mona Lisa and not students' emotions. The author reveals that. ""The Mona Lisa demonstration is really intended to bring a smile to your face, while it shows just how much this computer can do."" (D'Alto 6) This shows that the Facial Action Coding System is mainly useful for such mystery portraits. It only helps solve people's curiosity rather than help students in classrooms.

Lastly the new technology also help make computer expressions more real in video games. Dr. Huang explains that, ""The same technology can make computer-animated faces more expressive__ for video games or video surgery."" (D'Alto 6) This evidence shows that the new software is more valuable at helping video gemes to look more real than helping students to study harder or to succeed.

Lastly, the new technology, ""Facial Action Coding System"" is not relevant for students in classroms because it is unaffordable, mainly useful for expensive portraits, and video games. There are many disadvantages than advantages for using the new technology at schools. The new system is more useful at video games and expensive portraits such as Mona Lisa's than in schools.",0
"I like this feature. I'd consider it very helpful on both computers and robots. Regarding robots, I wonder if Baymax from Disney's ""Big Hero 6"" had something like it. He was like a robotic nurse as explained by the main character. However, it wouldn't work in concrete tunnels.

Regarding computers, if the feature could have come out a bit sooner, then Nickelodeon could've used it for a non-animated TV show they came out with, called ""I Am Frankie"". I'm still waiting for the show to continue. In one of the last two episodes of this show, one of the judges for this competition that was like a quiz show said that computers can't feel human emotions, but a girl who was part computer proved her wrong. I like this show because it gives me proof of how smart computers are.

In conclusion, this feature should be used in all computers. I'd like for it to be used in robots too, that way robots could take the expression and mimic it. I'm pretty sure the ""Transformers"" movies have something like it too. If the ""Transformers"" movies and ""Big Hero 6"" use it then it was probably already thought of. With computers, someone could type into the computer ""How am I feeling today?"" and the computer could respond with an emotion like said computer has ESP.",0
"Limiting the usage of car's would have many good outcomes. There would be less polution in our air, it would lower the usage of our fossil fuels and People would live heathier lives without all the smog in the air to cause illnesses.

If all areas of the united states banned or limited the vehile uses here it could greatly reduce the polution in our air. Which would in a long term result cause for better health conditions in people, but we'd sooner realize better health in young childern and the elderly. We would all have cleaner safer air to breath. But it would also help with the enviroment, the number of plants an animals harmed by polution would begin to decrease until the was just a fraction of the amount there is in this time now.

Also limiting the usage of cars will lower our use an burning of precious fossil fuels that once we use them up they are gone. Which this would also save us mass amounts of money that we we could use to keep this country out of debt. Limiting the use of cars will also stop us from having to get our fosssil fuel (oil) from other countries an having debts and money issues with all these other contries. We need to realixe that the usage of fossil fuels all these cars we have is draining our planet which is our home, what are we going to do when its a waste land after we suck all its nature fossil fuels an resources out of it.

Lastly the limiting of cars in the united astates would eventually cause for better health conditions in everyone but we'd sooner realize it in young childern an elderly adults. They wouldn't have such hard times breathing that they do have now causes by all of the polution in our air now. It would take some time but eventaully we'd have cleaner fresher air to breath and this would help decrease the amount of smog an decrease the amount of people with respatory health issues.

These are all things we need to be thinking about when we go into a discussion of limiting car usage these are not the only reasons there are many many more that can be used to help push the movement of limited car use.",0
"Scientists have studied and implored the idea of understanding the solar system, specifically the Milky Way.

In investigating the solar system, Venus shows promises of exploration.

Though Venus itself is denser and hotter than Earth, both planets are one in the same.

The author of the passage utilizes this in explaining as to why investing into the research of this particular planet in the Milky Way is worth it.

The author does this by comparing Venus to Earth within Venus's geometric structures as well as its weather patterns.

Venus can be said to be Earth's twin.

Known as the second planet from the sun, Venus was once like how our planet is today based on scientists' knowledge.

According to the passage the planet,""...(W)as probably covered largely with oceans..."".

Earth contains 70% of water and has life on it and with this quote describing that Venus had water at one point in time, it too might have supported life forms which is what the author is attempting to explain in his writings.

Like Earth, Venus obtains the same landformations.

Another detail provided from the article states,""...surface of rocky sediment and includes familiar features such as valleys, mountains, and craters"" indicating not only that this planet once held water but, also sustains land structures identicle to Earth's.

In the final section of paragraph 3 it enscribes,""...(G)eology and weather present additional impediments like erupting volcanoes, powerfull earthquakes, and...lighting strikes..."".

Along with the planets identicle features to Earth's, It also features weather patterns and conditions that are compatible too.

Combining all of this information, Venus can be idealized as Earth.

The author gets to the point by comparing the various landforms, weather, and natural disasters of the two space rocks.

Researching Venus could not only mean furthering the understanding of this particular planet but, also Earth too.

Lastly, continuing the study on Venus is so vital that by doing so, man could possibly land another planet.",0
"The electoral college needs to be kept, it is the easiest way to vote for a presidential canidate. People may not like it because the people who are voting for a president really are not voting for the  president, their voting for the electors to vote for the president. Which makes sense, but the electoral college is simple and yet very reliable in many ways people dont see.

The electoral college is based of popularity in a state. I  can see why people dont like that because certain states like florida has the maximum of 29 electoral votes, but wyoming only has a maximum of 3 electoral votes. The presidential canidates look for states that have the most electoral votes, but they also need more votes than the other canidate so every vote counts.

Citizens may think that the canidates dont care about their state, but they do in more ways than you think. The electoral college has a requirement, trans-regional appeal, which means that a canidate is popular in a certain region of the U.S for example, Mitt Romney he was the most popular in the south in 2012's election. Romney did not canpain heavily in the south so he did not gain any electoral votes by increasing his popularity in the states he knows he would win in.

The electoral college is definatly something to argue about but in my opinion it should be kept. The Electoral college may seem a bit unfair but its also the most easiest desion making tool when it comes to electing. Its been around for years it would make no sense to get rid of it.",0
"I would know if it was real or not if only i had seen it with my own eyes but, im against the fact that they're saying that it's a real face made by the aliens because nobody would really think that there are aliens living in space. I also would know that it's not a face of the pharoah because the text says that it's a ""huge rock formation"". Nobody would really think that aliens created a face that big, even if there were aliens living in space i would not think that those type of creatures have any clue of how to build big structure like that. Only if i were out there in space looking at the face then i would know my self that it's real or not. A humans eye could tell if anything is real or not. If the world had something to prove that it's not a face then i would be with them and i would agree to everything they say about it, cause the person who thought that it was a face built by the aliens then i bet the majority of the peoples would disagree. All im trying to say is that i dont't believe that the aliens would build a face like structure.",0
"using this technology to read the emotions of students in a class room is valuable because you can tell a lot if a student is confused or even to angry or to sad to learn. plus you can tell if the teacher is doing her job right or if the student feels confortable in the class room you can also learn if the student feels bullied or not safe in the class room. We could also tell if the student is acutally happy in the class because of the facial action coding system that even allows you to figure out if the student has a genuine or false smile stated in paragraph 8 of the text. This technology could help students to learn better, students that come from other country's and dont know how to speak for thereself or are just to shy to speak out. At last is the communication that the teacher and student can have through this device would be better since the device can read emotions the teacher can learn from all of her students on how they like to learn and how they dont like to learn.",0
"The Sea Cowboys, If you like helping people and love animals this is the job for you. This program helps people in need and animals in need. Joining the Sea Cowboys can help make a diffrent in peoples lives.

This job a hard job, They need people that are tough and can handle a lot of things. Sometimes the seas were rough and it is hard not to get sea sick. There is a time to have fun on board and there is a time to be reponsible and work hard.

Being a sea cowboy is a very good oppertundity, You can travle around the world and can explore new things. After you become a sea cowboy you will have lot of responceabilty and will be more aware of your surondings and be grateful for what you have because some people dont have those things.

If you worked as a farmer or worked with animals you should join the sea cowboys. You can make a diffrence.",0
"You and I both know very well that we love to breath fresh air. Going out into the forest and taking a big breath of what is called ""fresh air."" Why cant we get that in an everyday life? I'll tell you why, because of polution. Cars are a ginormous part of polution, so what if we drove less?

In Vauban, Germany they have given up cars almost completely. The streets in Vauban are ""car free."" If you want a car, you have to park it at a local park garage for 40,000 dollars added onto your house. That isnt even worth paying for. ""When I had a car I was always tense. I'm much happier this way,"" said Heidrun Walter. She lives in this town so she knows how it is. Giving up a car can reduce stress! Boy do some people need to give up cars.

America's obeisity count is getting higher and higher by the month. What if we gave up cars? people would have to walk everywhere! That's a good way to get exercise. In passage 1 it says ""In this new approach, stores are placed a walk away, on a main street, rather than in malls along some distant highway."" Stores are helping people out so they can walk to get what they need instead of driving.

It will be so much less expensive in everyday life if you dont have a car. You won't have to pay for gas, you won't have to pay for car insurance and you won't have to pay for mantanence! You also will not have to pay something crazy like ""$40,000, along with a home."" If I had to pay that much more money to keep up with a car, I would give it up in an instant. I barely have enough money to support the car alone, there is no way i can pay an extra 40,000 dollars!

Not having a car seems easier and healthier to me! You can walk more, so you get you exercise in everyday. You dont have to spend money on the car, no gas, no insurance and no mantanance! That means you can spend it on important stuff, perhaps on schooling! You also dont have as much stress on your hands. You dont have to worry about stopped traffic because you can just walk, ride a bike, or jog to where ever you have a desire to go. I say we get rid of cars all together in the United States of America.",0
"You should join the Seagoing cowboys program overseas. I'f you join you will get to go to many places to help the states, or countries. You will take care animals day and night. To take care of the animals you will have to keep there stalls clean, and get their hay from the lower holds on the ship. Some places take about two weeks or even up to a few months to arrive. Once you loaded all the animals up and took care of them and the animals home is clean and provides food in the wild and in the safe areas, then you will unload the animals off the boat and take them back to where they belong. After all the animal are gone you get to have fun since there is no animals to take care of. Now that all the animals are gone you get to have fun and play games like baseball and volleyball in the empty holds that animals were in and been housed. There will also be table-tennis tournaments, fencing, boxing, reading, and whittling. So for the rest of the few weeks or so after everything is done you get to play games and have fun until it's time to get off board.",0
"I belive that if they make a driverless car thier would be a huge impact in the whole world because of the fact that you would not have to drive the car it's driveing its self. The google car can drive to a certain standard and how fast it would go driveing by its self. The maping in the car can be very profiencent. The google car can drive to a certain standard. The most that the car has gone is 25 mph driveing by its self. Google started this project since 2009 so time by time thier investing into this car to make it more proficent every time they invest to the car. They make the computer more better so thier would be less accidents while being in the google car. They had made more improvements in the cars sensor so the car can be more safer. The google car has antilock brakes. The google car is more proficent then a taxi dirver and the gas last more. In 2013 BMW had annouced the had made a "" traffic jam assistant"". Nisan and Audi had plans to have a driverless car by 2020 not very long. But we are getting closer and closer every day seeing the future in our own eyes. The dirverless car will help people who do not have that much money to be in a get a safe ride.

In somes states its llegal to have a driverless car. The cars have been proved to be more safe then any regular car.",0
"The Face on Mars is not an alien monument or creation. A lot of people do think that it was made by some alien life form but they are mistaken. Scientists have done multiple studies to conclude that it is a natural landformation.

First of all, the formation is known as a mesa. There are shadows from the formation that give the illusion of eyes, a mouth, and a nose. Also in the picture from 2001 each pixel in the photo graph is 1.56 meters on the planet so you would be able to see any artifacts or structures if there were any.

In conclusion, the Face on Mars is not an alien formation. Scientists have proven this by the effect of the shadows on the rock, the fact that it is a mesa, and by there not being any artifacts on or around the formation. Therefore, this is not evidence of there being ancient civilizations on Mars.",0
"Venus is the second planet from the sun, and one of the brightest points of light in the night sky. By some this planet is called the ""Evening Star'' because of how bright it is. This planet is known as Earth's twin, because its the closest planet to Earth in size and density. Often times the closest planet to Earth if it wasnt for the way Mars orbited. There is alot about Venus that people don't know about. Through the good in this planet it's also dangerous.

Venus has the hottest suface tempature of any planet on the solar syatem, even though Mercury is closer to the sun. Knowing what the atmosphere is like up there makes it harder for people in Nasa. No spacecraft survived the landing for more than a few hours, as it states in paragraph 2. Every since then no aircraft has touched Venus in almost 3 decades. This planets surface average tempature is 800 degrees Fahrenheit, which is 90 times greater than Earths surface. Venus's atmosphere is not just hot it also contains up to 97 percent carbon dioxide which is bad for your lungs.

Despite the dangers scientist are looking for new ways to explor this planet. Nasa has been trying to look for new ways but also some old ways from World War 2 that they could improve on. As they were looking for different ways they came up with the idea to hover over the plant so they could see it scloser, and that would allow humans to survive up to 170 degree weather. Through our the dangers and the beauty of this planet, scientist wont stop until they explorer this star.",0
